longitude,minimum_nights,calculated_host_listings_count,availability_365,neighbourhood_encoded,room_type_encoded,total_reviews,price
0.6676594721657807,0.0024019215372297837,0.0,0.0,0.09545454545454544,0.5,0.016551724137931035,98
0.5701597392883286,0.0016012810248198558,0.0,0.13972602739726028,0.00909090909090909,0.5,0.0,799
0.415442354952404,0.0016012810248198558,0.0,0.4328767123287671,0.03636363636363636,0.5,0.5080730223123732,146
0.3238193183032081,0.0008006405124099279,0.0,0.0,0.031818181818181815,0.5,0.0,250
0.6967758307511076,0.0,0.003067484662576687,0.0,0.02727272727272727,0.0,0.058093306288032456,55
0.3924698151511734,0.0,0.009202453987730062,0.0,0.07727272727272727,0.0,0.016713995943204867,60
0.41891494817815556,0.0016012810248198558,0.0,0.0,0.03636363636363636,0.5,0.14912778904665314,190
0.6887087295650645,0.023218574859887906,0.0,0.20821917808219179,0.17727272727272728,0.0,0.14864097363083165,74
0.3288946468640006,0.0,0.03374233128834356,0.7315068493150685,0.031818181818181815,0.0,1.0,110
0.0,0.0008006405124099279,0.0,0.7013698630136986,0.40454545454545454,0.5,1.0,70
0.5216502831498815,0.0,0.006134969325153375,0.14794520547945206,0.00909090909090909,0.0,0.06020283975659229,57
0.37126028421835144,0.004803843074459567,0.0,0.6219178082191781,0.08636363636363636,0.0,0.3023123732251521,88
1.0,0.0,0.0,0.9506849315068493,0.39545454545454545,0.0,0.570709939148073,50
0.5271530077999387,0.0016012810248198558,0.003067484662576687,0.7671232876712328,0.09090909090909091,0.5,0.0,245
0.7246634255795925,0.0008006405124099279,0.0,0.03287671232876713,0.2545454545454545,0.5,1.0,65
0.5320146383159567,0.0024019215372297837,0.003067484662576687,0.27945205479452057,0.00909090909090909,0.0,1.0,80
0.29229885671543343,0.0016012810248198558,0.003067484662576687,0.0,0.06363636363636363,0.0,0.0,150
0.4260204081632537,0.0024019215372297837,0.0,0.4904109589041096,0.05909090909090909,0.5,0.2768356997971602,750
0.4945106314776808,0.0016012810248198558,0.0,0.7424657534246576,0.013636363636363636,0.5,1.0,150
0.5404022865690195,0.0,0.0,0.4,0.09090909090909091,0.0,1.0,130
0.587896676995399,0.0,0.0,0.4410958904109589,0.09090909090909091,0.5,0.9059634888438134,295
0.32654396837261856,0.0008006405124099279,0.003067484662576687,0.0,0.06363636363636363,0.0,0.0,350
0.5259242440431535,0.0024019215372297837,0.0,0.4328767123287671,0.12727272727272726,0.5,1.0,399
0.7703948071374498,0.0008006405124099279,0.0,0.0,0.2545454545454545,0.5,0.0,90
0.37564109413392544,0.0016012810248198558,0.0,0.6794520547945205,0.08636363636363636,0.5,0.4913590263691684,195
0.25917565979267465,0.0016012810248198558,0.0,0.44931506849315067,0.049999999999999996,0.5,0.16227180527383367,179
0.4065204615877178,0.0016012810248198558,0.0,0.0,0.08636363636363636,0.5,0.1692494929006085,199
0.28791804679985944,0.0032025620496397116,0.0,0.0136986301369863,0.06363636363636363,0.0,0.0,66
0.3111577091569302,0.004803843074459567,0.1411042944785276,0.8712328767123287,0.031818181818181815,0.0,0.08762677484787018,156
0.3220563094347426,0.0032025620496397116,0.003067484662576687,0.6876712328767123,0.031818181818181815,0.5,0.8137931034482758,220
0.507920183780243,0.0024019215372297837,0.0,0.0,0.02727272727272727,0.0,0.016876267748478703,60
0.4808873811304011,0.0,0.0,0.024657534246575342,0.06818181818181818,0.5,0.20981744421906692,190
0.6035500587668707,0.023218574859887906,0.15644171779141103,0.9232876712328767,0.09090909090909091,0.5,0.06620689655172414,129
0.46469975424719223,0.007205764611689351,0.003067484662576687,0.0,0.05454545454545454,0.0,0.08454361054766735,140
0.3009002030131569,0.0,0.0,0.5178082191780822,0.2409090909090909,0.5,1.0,155
0.5494310289560644,0.023218574859887906,0.009202453987730062,0.989041095890411,0.02727272727272727,0.0,0.19505070993914805,60
0.45695320012816865,0.0,0.0,0.4904109589041096,0.013636363636363636,0.0,0.02709939148073022,69
0.2941687146062577,0.0008006405124099279,0.0,0.0,0.23636363636363636,0.5,0.0,250
0.747261993802681,0.0,0.0,0.336986301369863,0.22272727272727272,0.0,0.24275862068965517,55
0.7633961961747673,0.0,0.009202453987730062,0.024657534246575342,0.02727272727272727,0.0,0.04949290060851927,60
0.742507212308908,0.023218574859887906,0.0,0.5835616438356165,0.17727272727272728,0.5,0.050791075050709934,100
0.8085933326209442,0.0008006405124099279,0.0,0.4602739726027397,0.19999999999999998,0.0,0.27521298174442194,45
0.6978443209744114,0.0016012810248198558,0.003067484662576687,0.12054794520547946,0.09545454545454544,0.0,0.4392697768762677,45
0.6213938454963,0.0008006405124099279,0.0,0.0,0.02727272727272727,0.0,0.020608519269776877,55
0.5339379207179604,0.0008006405124099279,0.003067484662576687,0.024657534246575342,0.05454545454545454,0.0,0.26498985801217034,65
0.3341836734693402,0.0016012810248198558,0.0,0.715068493150685,0.031818181818181815,0.5,1.0,400
0.5523159525590131,0.0032025620496397116,0.0,0.2191780821917808,0.02727272727272727,0.5,0.0,210
0.7058045731380957,0.023218574859887906,0.0,0.12328767123287672,0.09545454545454544,0.5,0.016876267748478703,93
0.2610455176834421,0.0016012810248198558,0.0,0.0,0.35,0.5,0.0,190
0.9303477935675915,0.0008006405124099279,0.0,0.17534246575342466,0.36818181818181817,0.0,0.08340770791075051,45
0.5963911742707069,0.007205764611689351,0.0,0.11506849315068493,0.09090909090909091,0.5,0.0,160
0.35261512982151544,0.0008006405124099279,0.0,0.0,0.08636363636363636,0.0,0.05176470588235294,80
0.7405839299069612,0.0,0.0,0.0,0.19999999999999998,0.0,0.016551724137931035,85
0.6961347366170685,0.0016012810248198558,0.012269938650306749,0.0,0.09545454545454544,0.0,0.03472616632860041,40
0.5823405278341056,0.023218574859887906,0.02147239263803681,0.8493150684931506,0.00909090909090909,0.0,0.025638945233265723,43
0.48756544502612087,0.0,0.0,0.0,0.12727272727272726,0.5,0.08308316430020284,95
0.3160727641841845,0.004803843074459567,0.0,0.33972602739726027,0.2909090909090909,0.5,0.022393509127789046,199
0.5298776578693492,0.007205764611689351,0.0,0.0,0.05454545454545454,0.5,0.0,250
0.5607570253231415,0.023218574859887906,0.0,0.7479452054794521,0.09090909090909091,0.5,1.0,249
0.3852040816325939,0.004803843074459567,0.0,0.7972602739726028,0.07272727272727272,0.5,0.7782555780933063,150
0.350478149374851,0.0016012810248198558,0.0,0.0,0.10454545454545454,0.5,0.01768762677484787,125
0.5032722513088856,0.0008006405124099279,0.0,0.0,0.02727272727272727,0.0,0.03764705882352941,57
0.5276872529115622,0.023218574859887906,0.006134969325153375,0.9068493150684932,0.12727272727272726,1.0,0.0,75
0.6610882572924197,0.0008006405124099279,0.0,0.10136986301369863,0.13636363636363635,0.5,0.0,120
0.5170023506784105,0.0016012810248198558,0.003067484662576687,0.6547945205479452,0.05454545454545454,0.5,1.0,249
0.2527112939416156,0.015212169735788629,0.006134969325153375,0.1452054794520548,0.19545454545454544,0.5,0.0,165
0.6757799978629464,0.0016012810248198558,0.003067484662576687,0.9205479452054794,0.08181818181818182,0.0,0.2977687626774848,250
0.5054626562666158,0.0032025620496397116,0.0,0.0,0.02727272727272727,0.5,0.06685598377281947,120
0.6955470669943224,0.0,0.0,0.03561643835616438,0.2545454545454545,0.0,0.0,55
0.4365984613739897,0.0016012810248198558,0.0,0.263013698630137,0.004545454545454545,0.0,0.0,600
0.4970215835024874,0.0008006405124099279,0.003067484662576687,0.4273972602739726,0.3318181818181818,0.0,0.1909939148073022,65
1.0,0.0,0.006134969325153375,0.4931506849315069,0.6909090909090909,0.0,0.0,92
0.29277967731593435,0.0024019215372297837,0.0,0.0,0.15,0.5,0.0,250
1.0,0.0,0.024539877300613498,0.947945205479452,0.16818181818181818,0.0,0.4994726166328601,89
0.56337482637025,0.0,0.0,0.0,0.09090909090909091,0.0,0.12105476673427992,100
0.3030371834597645,0.0016012810248198558,0.003067484662576687,0.821917808219178,0.031818181818181815,0.5,1.0,288
